Segment,Sex,#,city,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,type_shoes,three_words_1,three_words_2,three_words_3,expected_spending,difference_easy_to_tell,difference_running_shoes_trainers_1,difference_running_shoes_trainers_2,difference_running_shoes_trainers_3,difference_running_shoes_trainers_4,difference_running_shoes_trainers_5,difference_running_shoes_trainers_6,difference_running_shoes_trainers_7,difference_running_shoes_trainers_8,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,more_confident_if_10,know_which_features, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,too_expensive,is_a_hassle,need_expert_advice,benefits_over_trainers,thanks,Score,Start Date (UTC),Submit Date (UTC),Network ID
Mature Family,Male,ktyy2yzcnf5b5h6ktyy2ghhf6h80ulxd,Plouzané,3 to 4 times a week,,Road,Trail,,Advanced,,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Light,Stability,Comfort,Between 100 and 150 €,Totally Agree,,,,Technology,Footwear / Comfort,,,,Agree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,Lightness,,,,Fit and comfort,,,Totally Agree,Agree,Neither agree nor disagree,Totally Agree,1,0,25/02/2020 19:58,25/02/2020 20:03,0d5049b340
Mature Family,Male,tifora4temxj2tifohflibtiu1hs41jp,Brie,Sometimes,,Road,Trail,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,I want to race.,,,Running Shoes,Cushioning,,,Between 100 and 150 €,Agree,,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Disagree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,Disagree,Color / Design,,,Shock absorption,,,Bounce and cushioning,,,,,Totally Agree,Agree,Agree,Disagree,1,0,25/02/2020 19:38,25/02/2020 20:03,f1da20ea00
Mature Family,Male,p895xmjnp40v5zg8p89oi3vl8szce0ju,Clermont fd,3 to 4 times a week,,Road,,,Intermediate,,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Lightweight,Comfortable,Solid,Between 50 and 100 €,Agree,,,,Technology,,,,,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,,,A (e) ami (e) or even thought I had made the right choice,I knew they were best suited to help me achieve my goals,,Neither agree nor disagree,,Protection against injuries,,Shock absorption,,,,Price,,,,Totally Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0,0,25/02/2020 19:57,25/02/2020 20:01,e915e64448
Mature Family,Male,hn0zve243galjm5fm2nhn0zve24badt0,Proville,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Running Shoes,Lightweight,Damped,Flexible,<50 €,Agree,,,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,Protection against injuries,,Shock absorption,,,Bounce and cushioning,,,,,Agree,Agree,Totally Agree,Agree,1,0,25/02/2020 19:53,25/02/2020 20:00,23cbaf2061
Mature Family,Male,zg3dwpbmmxbihenazg3dy0lfx5x63x4c,clermont,Sometimes,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,,,Running Shoes,Comfort,Maintaining,Momentum,Between 50 and 100 €,Agree,,,Durability,Technology,Footwear / Comfort,,,,Agree,,I knew they were good value for money,I knew other people like me had bought them,,,,,,I knew they were best suited to help me achieve my goals,,Agree,,,Durability,,,,Bounce and cushioning,,Fit and comfort,,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,1,0,25/02/2020 19:54,25/02/2020 20:00,718551ed6a
Mature Family,Male,8um4b5ger8ewqww8um4b5apfd358o9ka,Montrouge,3 to 4 times a week,Sports Hall,Road,,Track,Advanced,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Amortized,,Dynamic,Between 150 and 200 €,Totally Agree,,,,Technology,,,,,Disagree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,I had seen advertising / promotions / consumer reviews,,,,,Totally Agree,,Protection against injuries,,,,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,0,25/02/2020 19:17,25/02/2020 19:58,b775da7cc8
Mature Family,Male,y961s4pj8ncfmftc5uky961s4pl7y0p6,Villeurbanne,5 times a week or more,,Road,,Track,Advanced,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,"I like to collect new equipment, clothes, shoes, etc.",,This allows me to spend time with friends.,It's a way for me to contribute to a cause / charity which is of importance to me.,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Lightweight,Cushioning,Flexibility,Between 100 and 150 €,Agree,,,Durability,Technology,,Price,,,Agree,,,I knew other people like me had bought them,,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,Durability,,,,Bounce and cushioning,,Fit and comfort,,,Totally Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,0,0,25/02/2020 19:45,25/02/2020 19:50,434cb38455
Mature Family,Male,xz1k9w60hda4z9jov6xz1k9w60kly2md,Aire sur l'Adour,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,,,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Comfort,Stability,Cushioning,Between 150 and 200 €,Totally Agree,,Color pallet,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,I saw a respected professional adopt the,,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,,,Neither agree nor disagree,,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Agree,Agree,Totally Agree,Agree,1,0,25/02/2020 19:41,25/02/2020 19:49,dc378267c2
Mature Family,Male,wnycbenjxsa0b5pwnycbc7rwdcddoe7e,St Vincent de Tyrosse,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,It's a way for me to contribute to a cause / charity which is of importance to me.,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,,,,Running Shoes,Comfortable,Stylish,Light,Between 100 and 150 €,Agree,,Color pallet,Durability,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Neither agree nor disagree,,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Agree,Totally Agree,Agree,Totally Agree,0,0,25/02/2020 19:44,25/02/2020 19:48,5343431561
Mature Family,Male,tm5m9uq7kqmyy760ftm5hy635g99pgwb,Esquerdes,3 to 4 times a week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,,,Running Shoes,Amortization,Comfortable,Fit,Between 50 and 100 €,Agree,,,,Technology,,,,,Totally Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,Totally Agree,Color / Design,,,,,,Bounce and cushioning,Price,,,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,1,0,25/02/2020 19:41,25/02/2020 19:47,9acd7fd682
Mature Family,Male,enarzsmnu6fl9henarwz7byg8k4o0yz1,The pit Cordian,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,"I like to collect new equipment, clothes, shoes, etc.",,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Slight,Pretty,Effective,Between 150 and 200 €,Totally Agree,Design / Style,,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Neither agree nor disagree,Agree,Neither agree nor disagree,Totally Agree,0,0,25/02/2020 19:39,25/02/2020 19:44,c3ab8c2f24
Mature Family,Male,aqc1vvbdmlbolj5qaqc1vv8xvp2nzeh4,Montpellier,3 to 4 times a week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Running Shoes,Lightweight,Cushioned,Comfort,Between 100 and 150 €,Agree,,,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Agree,,Protection against injuries,,,,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,0,25/02/2020 19:35,25/02/2020 19:41,6d954198ad
Mature Family,Male,tle1udi7pljyuntle1p1kexuyuoq202h,Rouen,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,I want to race.,,,Running Shoes,Lightweight,Cushioning,Design,Between 100 and 150 €,Disagree,Design / Style,,,Technology,,,,,Agree,I saw a respected professional adopt the,,,,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,,Maintenance / anti-pronation,,Price,,,,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,1,0,25/02/2020 19:37,25/02/2020 19:41,bfee38f4ac
Mature Family,Male,m3vrncb3y7yffg6frcftm3vro1wp6h4p,seagrass,3 to 4 times a week,Sports Hall,Road,Trail,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Running Shoes,Comfortable,Lightweight,And,Between 50 and 100 €,Disagree,Design / Style,,,Technology,Footwear / Comfort,Price,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Totally Agree,,Protection against injuries,,Shock absorption,,,,,,Adaptation to a given surface (eg. Track rather than road),,Agree,Disagree,Neither agree nor disagree,Agree,1,0,25/02/2020 19:29,25/02/2020 19:38,0f67046222
Mature Family,Male,842liko8fmgonqzipcte842likn19efy,Nice,5 times a week or more,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,,,This allows me to spend time with friends.,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Cushioning,,,Between 100 and 150 €,Totally Agree,,,,Technology,Footwear / Comfort,,,,Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Agree,,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1,0,25/02/2020 19:27,25/02/2020 19:32,2a9a4317ea
Mature Family,Male,xf65qrd1h9qv1t6yxf65qrxxypbex3gl,Sagy,1 to 2 times per week,,,Trail,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Running Shoes,Lightweight,Comfortable,Grip,Between 100 and 150 €,not agree at all,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,,Lightness,,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Disagree,Agree,Agree,1,0,25/02/2020 19:25,25/02/2020 19:31,34dc548152
Mature Family,Male,fajm05wj6cyadxmwfajm0gv1kyki571t,Reims,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,"I like to collect new equipment, clothes, shoes, etc.",I love discovering new environments.,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,,,,Running Shoes,Robust,Lightweight,Comfort,Between 100 and 150 €,Agree,Design / Style,,,Technology,,,,,Neither agree nor disagree,I saw a respected professional adopt the,,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,,,,,,,Neither agree nor disagree,,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1,0,25/02/2020 19:25,25/02/2020 19:30,44f4166dcb
Mature Family,Male,v7sta1x5mjznpuqyasy3cv7sta1x55fc,Rouen,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,,,,I love discovering new environments.,,It's a way for me to contribute to a cause / charity which is of importance to me.,I like to stay abreast of news and trends.,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Running Shoes,Strength,Comfort,Performance,Between 100 and 150 €,Totally Agree,,,Durability,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,,,Totally Agree,,,Durability,Shock absorption,,,Bounce and cushioning,,,,,Neither agree nor disagree,Disagree,Disagree,Agree,1,0,25/02/2020 19:17,25/02/2020 19:29,44129b1dfa
Mature Family,Male,5n7lcg11db31vfoyx5n7lcdjdsy2e2ba,Plounevez-lochrist,1 to 2 times per week,,,Trail,,Intermediate,,,,,,,,,,,I love discovering new environments.,,It's a way for me to contribute to a cause / charity which is of importance to me.,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Sport shoes,Lightweight,Flexible,Underpad,Between 50 and 100 €,Totally Agree,,,,Technology,Footwear / Comfort,,,,Neither agree nor disagree,,I knew they were good value for money,,,,,,A (e) ami (e) or even thought I had made the right choice,I knew they were best suited to help me achieve my goals,,Agree,Color / Design,,,,,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Agree,Disagree,Disagree,Agree,1,0,25/02/2020 18:52,25/02/2020 19:23,7ad856ea09
Mature Family,Male,n94sm0h2u8wea0sjapr3tn94sm0j9aq6,Antony,1 to 2 times per week,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Zero,Drop,Cushioning,Between 100 and 150 €,Totally Agree,Design / Style,,,Technology,Footwear / Comfort,,,,Totally Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,Shock absorption,,Maintenance / anti-pronation,Bounce and cushioning,,,,,Neither agree nor disagree,Disagree,Agree,Agree,1,0,25/02/2020 19:16,25/02/2020 19:22,f86fb2a12a
Mature Family,Male,wt5oftbzxzgcjuvwt5ofozjgxdjgmb3e,Maurepas,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,"I like to collect new equipment, clothes, shoes, etc.",,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Comfortable,Good,Support,Between 50 and 100 €,Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,,It was clear that they corresponded best to my needs,I had seen advertising / promotions / consumer reviews,,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,Lightness,,,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Disagree,Agree,Totally Agree,1,0,25/02/2020 19:14,25/02/2020 19:22,667622dcfe
Mature Family,Male,xfmdick0fzqv2bwacwixfmdipoxny0bn,Sorquainville,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Comfort,Trail,Price,Between 50 and 100 €,Agree,,Color pallet,,,Footwear / Comfort,Price,,,Neither agree nor disagree,,I knew they were good value for money,,,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,Lightness,,,Price,,,,Agree,Agree,Agree,Agree,1,0,25/02/2020 19:13,25/02/2020 19:20,fcdd5565e5
Mature Family,Male,gwy4kazltosjvzvgwy3bhalum2e0cs61,Orleans,3 to 4 times a week,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,,,This helps me to improve my physical appearance.,,"I like to collect new equipment, clothes, shoes, etc.",I love discovering new environments.,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Running Shoes,Mild,Stable,Comfortable,Between 100 and 150 €,Agree,,,,Technology,,Price,,,Totally Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,,Lightness,,,Price,Fit and comfort,,,Totally Agree,Agree,Disagree,Agree,1,0,25/02/2020 19:11,25/02/2020 19:18,f7b85d1bb0
Mature Family,Male,jk3znd1wdo8l73s2jk3znm5bge2g59dz,Vitrolles,1 to 2 times per week,Sports Hall,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Sport shoes,Aesthetic,Comfort,Reliability,Between 50 and 100 €,Neither agree nor disagree,,,Durability,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Disagree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,,,Disagree,,,Durability,Shock absorption,,Maintenance / anti-pronation,,,,,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,0,0,25/02/2020 19:13,25/02/2020 19:17,b6b63d59f0
Mature Family,Male,erhp9a7zbxn6g533erhpm5r7co1zly0l,Brest,3 to 4 times a week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,I want to race.,,,Running Shoes,Comfortable,Light,Solid,Between 50 and 100 €,Totally Agree,,,,Technology,Footwear / Comfort,,,,Agree,,I knew they were good value for money,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,,,,,,,Agree,,,Durability,,,,,Price,Fit and comfort,,,Neither agree nor disagree,Disagree,Disagree,Agree,0,0,25/02/2020 19:11,25/02/2020 19:16,b3db5f42d2
Mature Family,Male,hxwbe179f7p5f2mpjhxw37isrrignddw,Rozay-en-Brie,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,This helps me to maintain a relationship with a loved one.,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,I want to race.,,,Running Shoes,Slight,Known,Comfortable,Between 100 and 150 €,Agree,,,Durability,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Agree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Neither agree nor disagree,Disagree,Agree,Totally Agree,0,0,25/02/2020 19:09,25/02/2020 19:16,23a81323b8
Mature Family,Male,4xvl5lcedvj4e9e4xvl5lcuip16byzk8,Longperrier,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,,,"I like to collect new equipment, clothes, shoes, etc.",,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Cushioning,Flexible,Light,Between 100 and 150 €,Totally Agree,,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,Totally Agree,,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Agree,Totally Agree,Totally Agree,Totally Agree,1,0,25/02/2020 19:07,25/02/2020 19:16,11895f2d90
Mature Family,Male,xpkicrs6ycqscu2yx9k92jk7qau3z6uy,Villeurbanne,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Comfortable,Lightweight,Robust,Between 50 and 100 €,Agree,,,,Technology,,,,,Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,I had seen advertising / promotions / consumer reviews,,,,,Agree,,,,,Lightness,,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,0,25/02/2020 18:59,25/02/2020 19:15,1bf71a23e5
Mature Family,Male,qwmsljvrpz11oins5bqwmsg4evhgi0mk,Grenoble,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Cushioned,Comfort,Prices,Between 150 and 200 €,Disagree,,,,Technology,Footwear / Comfort,,,,Totally Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,Shock absorption,,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Agree,Agree,Agree,Totally Agree,1,0,25/02/2020 19:05,25/02/2020 19:12,541d8c03e9
Mature Family,Male,u58kg04pd32pik5b2vbu58kg0k3zc7u9,La Queue-en-Brie,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,I like to stay abreast of news and trends.,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,,,,I am not sure),Comfort,,,Between 100 and 150 €,Neither agree nor disagree,Design / Style,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,not agree at all,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Disagree,,,Durability,Shock absorption,,,Bounce and cushioning,,,,,Neither agree nor disagree,Totally Agree,Totally Agree,Disagree,1,0,25/02/2020 19:00,25/02/2020 19:11,e022987dc2
Mature Family,Male,agt3jlnzdgtkzt8v6yfx3agt3jlcrn6a,Pau,3 to 4 times a week,,,Trail,,Advanced,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Lightweight,Comfortable,Dynamic,Between 100 and 150 €,Totally Agree,,,,,,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Totally Agree,,Protection against injuries,Durability,,,,Bounce and cushioning,,,,,Totally Agree,not agree at all,not agree at all,not agree at all,0,0,25/02/2020 18:29,25/02/2020 19:05,a312f37a61
Mature Family,Male,96lejxpzcdw5c95zav96lejxn4nq2qb5,LYON,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Adapted,Comfortable,Dynamic,Between 100 and 150 €,Totally Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Neither agree nor disagree,Disagree,Totally Agree,Totally Agree,1,0,25/02/2020 18:58,25/02/2020 19:02,c2d1d63010
