Segment,Sex,last_buy_shoes,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,three_words_1,three_words_2,three_words_3,recent_spending,online_offline,online_search_1,online_search_2,online_search_3,online_search_4,online_search_5,online_search_6,where_usually,where_bought, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,most_frustrating_online_1,most_frustrating_online_2,most_frustrating_online_3,most_frustrating_online_4,most_frustrating_online_5,most_frustrating_online_6,most_frustrating_online_7,most_frustrating_online_8,most_frustrating_online_9,most_frustrating_online_10,most_frustrating_online_11,most_frustrating_offline_1,most_frustrating_offline_2,most_frustrating_offline_3,most_frustrating_offline_4,most_frustrating_offline_5,most_frustrating_offline_6,most_frustrating_offline_7,most_frustrating_offline_8,most_frustrating_offline_9,most_frustrating_offline_10,most_frustrating_offline_11,most_frustrating_offline_12,most_frustrating_offline_13,need_expert_advice,age,occupation,parent
Mature Professional,Male,0 to 3 months,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,,I love discovering new environments.,This allows me to spend time with friends.,It's a way for me to contribute to a cause / charity which is of importance to me.,,,,,I need to replace old shoes.,I want to race.,,,Comfort,lightness,cushioning,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,Shock absorption,,,,Price,,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,,,Identify running shoes compared with running shoes,,,Too many options to choose from,,,,Differentiate between the different models of running shoes,,,,,Presentation of unclear shoes,,,Identify running shoes compared with running shoes,Limited product selection,,,,Neither agree nor disagree,37-45 years,Employee,No
Mature Family,Male,More than 12 months,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfort,robust,grip,Between 100 and 150 €,Online,Searches Online,,,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,,,Fit and comfort,,Grip,Strongly Agree,,,I knew other people like me had bought them,,,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,,Differentiate between different brands of running shoes,,,,,,,,,,,,,Making the difference between products with different prices,,,,,,,,,,Strongly Agree,37-45 years,Employee,Yes
Mature Family,Male,7 to 12 months,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,This helps me to improve my sex life.,,,,,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Stability,comfort,simplicity,Between 50 and 100 €,At the store,,Visit store,Advice from friends or family members,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,Maintenance / anti-pronation,Bounce and cushioning,,,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,,,,,Differences in language different websites in terms of product description,Product images will not have the advantages,,Limited product selection,,,,,,,,Presentation of unclear shoes,Not knowing exactly where to find the radius of running shoes,No system / tool to choose the right pair of shoes,,,,,,Agree,37-45 years,Employee,Yes
Young Professional,Female,7 to 12 months,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,"I set myself a goal of health, eg. losing weight.",,Cushioning,light,and,Between 50 and 100 €,At the store,,Visit store,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,I had seen advertising / promotions / consumer reviews,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,Identify running shoes compared with running shoes,,Product images will not have the advantages,Too many options to choose from,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,,Presentation of unclear shoes,,No system / tool to choose the right pair of shoes,Identify running shoes compared with running shoes,Limited product selection,,,,Agree,23-30 years,Employee,No
Mature Professional,Female,4 to 6 months,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,,,Comfort,lightness,good,Between 50 and 100 €,At the store,Searches Online,,,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Agree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable,,,,,Finding a suitable product for my personal needs,,,,,,,,Not being able to try them on,,,Finding a suitable product for my personal needs,,,Presentation of unclear shoes,,,,,,,,Neither agree nor disagree,31-36 years,Employee,No
Full Time Student,Female,0 to 3 months,1 to 2 times per week,,Road,Trail,Track,Beginner,,,,,,,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Dynamic,light,comfortable,Between 50 and 100 €,At the store,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,,,,Identify running shoes compared with running shoes,,,,,,,,,,,,,,,Identify running shoes compared with running shoes,,,,,Neither agree nor disagree,16-22 years,Student,No
Mature Family,Male,0 to 3 months,1 to 2 times per week,,Road,,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Endurance,,,Between 100 and 150 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Strongly Agree,I saw a respected professional adopt the,,,,,,,,,,,,,Identify running shoes compared with running shoes,,,,,,,,,,,,,,,,,,no frustration,,Agree,46-55 years,Looking for a job,Yes
Mature Professional,Female,More than 12 months,I do not practice running,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,I like to stay abreast of news and trends.,,,,,,,Gym,Being,comfortable,in,<50 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,Shock absorption,,,Bounce and cushioning,,,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,,Making the difference between products with different prices,,,,,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,,Making the difference between products with different prices,,,,,,,,,,Strongly Agree,46-55 years,Employee,No
Mature Professional,Female,7 to 12 months,1 to 2 times per week,Sports Hall,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,This allows me to spend time with friends.,It's a way for me to contribute to a cause / charity which is of importance to me.,,,,I plan to run more often.,I need to replace old shoes.,,,Needed motivation.,Comfortable,nice,looking,Between 50 and 100 €,Online,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,,,Price,Fit and comfort,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,,Finding a suitable product for my personal needs,,,,,,Limited product selection,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,Identify running shoes compared with running shoes,Limited product selection,,,,Disagree,37-45 years,Employee,No
Mature Family,Female,4 to 6 months,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Light,comfortable,colourful,Between 100 and 150 €,At the store,,,,research online and in-store visit,,,no preference,"Store brand, eg. Nike",Color / Design,,,,Lightness,,,,Fit and comfort,,,Agree,,,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,,Finding a suitable product for my personal needs,,,,,,,,,,,,,Staff poor knowledge about products,,,,,,,,,Agree,37-45 years,Employee,Yes
Young Professional,Female,7 to 12 months,1 to 2 times per month,Sports Hall,Road,,,Intermediate,,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,light,practical,Between 100 and 150 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,,,,,,,I knew they were the most comfortable,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,,,,No system / tool to choose the right pair of shoes,,,Too many options to choose from,,,Strongly Agree,23-30 years,Employee,No
Mature Professional,Male,0 to 3 months,5 times a week or more,Sports Hall,Road,,,Advanced,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Easier,to,walk,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,,,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,A friend or peer's agreed I had chosen the right ones,,,,Finding a suitable product for my personal needs,,,,,,,no frustration,,,,,,Staff poor knowledge about products,,,,,,,,,Strongly Agree,31-36 years,Employee,No
Mature Professional,Male,More than 12 months,1 to 2 times per week,Sports Hall,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,light,reactive,Between 150 and 200 €,At the store,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,no frustration,,,,,,,,,,,Limited product selection,,,,Strongly Agree,46-55 years,Employee,No
Mature Professional,Female,0 to 3 months,1 to 2 times per week,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,This helps me to maintain a relationship with a loved one.,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Comfortable,resistant,and,<50 €,At the store,,Visit store,Advice from friends or family members,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,Shock absorption,,,,,Fit and comfort,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable,A friend or peer's agreed I had chosen the right ones,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,,,,,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,Agree,31-36 years,Employee,No
Mature Professional,Female,7 to 12 months,1 to 2 times per week,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,I want to race.,"I set myself a goal of health, eg. losing weight.",,Lightness,flexibility,support,Between 50 and 100 €,At the store,,,,,no research,,"Store brand, eg. Nike, Adidas","Store brand, eg. Nike",Color / Design,,,,Lightness,,,Price,,,,Neither agree nor disagree,I saw a respected professional adopt the,I knew they were good value for money,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,Differentiate between different brands of running shoes,,Making the difference between products with different prices,,,,Too many options to choose from,,,,,Differentiate between different brands of running shoes,,,Staff poor knowledge about products,,,No system / tool to choose the right pair of shoes,,Limited product selection,,,,Neither agree nor disagree,31-36 years,Employee,No
Young Family,Female,7 to 12 months,1 to 2 times per month,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Light,comfortable,flexible,Between 50 and 100 €,At the store,,,Advice from friends or family members,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Neither agree nor disagree,I saw a respected professional adopt the,,,,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,,,,,,,,,,no frustration,,Agree,31-36 years,Employee,Yes
Mature Family,Female,7 to 12 months,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Cushioning,relaunch,comfort,Between 100 and 150 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Agree,,I knew they were good value for money,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,,It not being possible to try them on and the size variations between the different brands,,Differentiate between different brands of running shoes,,,Staff poor knowledge about products,,,,,Limited product selection,,,,Strongly Agree,37-45 years,Employee,Yes
Mature Family,Male,4 to 6 months,3 to 4 times a week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,,,,For different terrains.,Lightness,grip,look,Between 100 and 150 €,At the store,Searches Online,,,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,Not being able to try them on,,,,,,,,,,Limited product selection,,,,Disagree,37-45 years,Employee,Yes
Mature Family,Male,0 to 3 months,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,This helps me to improve my sex life.,,This helps me feel confident (e) and stronger (e).,,,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,"I set myself a goal of health, eg. losing weight.",,Support,cushioning,energy,Between 150 and 200 €,At the store,,Visit store,Advice from friends or family members,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,,Maintenance / anti-pronation,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Disagree,I saw a respected professional adopt the,,I knew other people like me had bought them,,,I had seen advertising / promotions / consumer reviews,,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,,,,,,,,,,,no frustration,,Strongly Agree,37-45 years,Employee,Yes
Mature Family,Female,More than 12 months,1 to 2 times per month,Sports Hall,,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Comfort,safety,price,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,Maintenance / anti-pronation,,Price,,,,Agree,,,I knew other people like me had bought them,,,,,,,Differentiate between the different models of running shoes,,,,,,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,Strongly Agree,46-55 years,Employee,Yes
Mature Family,Male,0 to 3 months,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Cushioning,comfortable,light,Between 100 and 150 €,Online,Searches Online,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,Shock absorption,Lightness,,,,,,,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,,,,,,,,,,Strongly Agree,46-55 years,Employee,Yes
Mature Family,Male,4 to 6 months,I do not practice running,,,Trail,,Intermediate,,,,,,,,,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,,,Comfort,waterproof,price,Between 50 and 100 €,At the store,,,Advice from friends or family members,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",Color / Design,,Durability,,,,,,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,,,,,,I knew they were best suited to help me achieve my goals,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,,Limited product selection,,,,,,,,,,No system / tool to choose the right pair of shoes,,Limited product selection,,,,Neither agree nor disagree,37-45 years,Employee,Yes
Young Professional,Female,7 to 12 months,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Light,Flexible,,Between 100 and 150 €,At the store,,Visit store,,,,,"Store brand, eg. Nike, Adidas","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,Lightness,,,,,Adaptation to a given surface (eg. Track rather than road),,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,no frustration,,,,,,Staff poor knowledge about products,,Not knowing exactly where to find the radius of running shoes,,,,Too many options to choose from,,,Neither agree nor disagree,23-30 years,Employee,No
Mature Professional,Female,7 to 12 months,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Very,good,cushioning,Between 50 and 100 €,At the store,,,Advice from friends or family members,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,Bounce and cushioning,Price,,,,Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,Not being able to try them on,,,,,Staff poor knowledge about products,,,No system / tool to choose the right pair of shoes,,Limited product selection,,,,Disagree,31-36 years,Employee,No
Young Professional,Female,7 to 12 months,1 to 2 times per month,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Durable,comfortable,flexible,Between 50 and 100 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,Bounce and cushioning,Price,,,,Neither agree nor disagree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,Differentiate between different brands of running shoes,,Making the difference between products with different prices,,,Product images will not have the advantages,Too many options to choose from,,,,,Differentiate between different brands of running shoes,,,,Presentation of unclear shoes,Not knowing exactly where to find the radius of running shoes,,,Limited product selection,,,,Strongly Agree,16-22 years,Employee,No
Mature Family,Male,4 to 6 months,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,cushioning,lightness,Between 50 and 100 €,At the store,,Visit store,Advice from friends or family members,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,,,,,Finding a suitable product for my personal needs,,Identify running shoes compared with running shoes,,,Too many options to choose from,,,,,,Finding a suitable product for my personal needs,,,,,No system / tool to choose the right pair of shoes,,,Too many options to choose from,,,Agree,46-55 years,Employee,Yes
Mature Family,Male,0 to 3 months,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Cushioning,light,,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,Fit and comfort,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,,,,,,,,,,Limited product selection,,,,Neither agree nor disagree,46-55 years,Employee,Yes
Mature Student,Female,0 to 3 months,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Light,flexible,design,Between 100 and 150 €,At the store,,,,,,I know the different characteristics of shoes well,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Agree,,,,,,,,,I knew they were best suited to help me achieve my goals,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,,,,,,,,,,,,,,,,no frustration,,Agree,23-30 years,Student,No
Mature Family,Male,0 to 3 months,1 to 2 times per month,,Road,,,Intermediate,,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,lightness,performance,Between 150 and 200 €,At the store,,,,,no research,,"Store brand, eg. Nike, Adidas","Store brand, eg. Nike",Color / Design,,,,Lightness,,,,Fit and comfort,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,,,,,,Differentiate between the different models of running shoes,,,,,Differences in language different websites in terms of product description,,,,,,,,,,Staff poor knowledge about products,Presentation of unclear shoes,,,,,,,,Neither agree nor disagree,46-55 years,Employee,Yes
Mature Family,Female,4 to 6 months,1 to 2 times per week,Sports Hall,,,,Intermediate,,,,,,,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Comfortable,resistant,very,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,Durability,,,,,,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,,,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,,,Making the difference between products with different prices,,,,,,,,no frustration,,Neither agree nor disagree,46-55 years,Looking for a job,Yes
Mature Student,Female,0 to 3 months,1 to 2 times per month,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,I plan to run more often.,,,,,Comfort,light,style,Between 50 and 100 €,At the store,,Visit store,,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",Color / Design,Protection against injuries,,,Lightness,,,,,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,Differentiate between different brands of running shoes,,,,,,,,,,,Differentiate between different brands of running shoes,,,,,,,,,,,,Agree,23-30 years,Student,No
Mature Professional,Female,7 to 12 months,1 to 2 times per week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,I want to race.,,,Flexible,comfortable,and,Between 100 and 150 €,At the store,,Visit store,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,Fit and comfort,,,Disagree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,,,,,,Differentiate between different brands of running shoes,,,,,,,,,,,,Agree,31-36 years,Employee,No
Mature Family,Male,0 to 3 months,1 to 2 times per week,,Road,Trail,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,This helps me to maintain a relationship with a loved one.,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,I love discovering new environments.,,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Quality,lightness,flexibility,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Strongly Agree,,I knew they were good value for money,,,,,I knew they were the most comfortable,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,,,Product images will not have the advantages,,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,Making the difference between products with different prices,Staff poor knowledge about products,Presentation of unclear shoes,,No system / tool to choose the right pair of shoes,,Limited product selection,,,,Agree,46-55 years,Employee,Yes
Mature Family,Male,0 to 3 months,1 to 2 times per month,,Road,,,Beginner,,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,support,lightness,Between 50 and 100 €,At the store,,,Advice from friends or family members,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Agree,,I knew they were good value for money,I knew other people like me had bought them,,,,I knew they were the most comfortable,,,,,,Making the difference between products with different prices,,,,Too many options to choose from,,,,,,,,Staff poor knowledge about products,,Not knowing exactly where to find the radius of running shoes,,,Limited product selection,,,,Agree,46-55 years,Employee,Yes
Mature Family,Female,7 to 12 months,1 to 2 times per week,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,I need to replace old shoes.,I want to race.,"I set myself a goal of health, eg. losing weight.",,Lightness,cushioning,fashion,Between 50 and 100 €,At the store,,,Advice from friends or family members,,,,"Store brand, eg. Nike, Adidas","Store brand, eg. Nike",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Neither agree nor disagree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,A friend or peer's agreed I had chosen the right ones,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,Identify running shoes compared with running shoes,,Product images will not have the advantages,,,,,,,Finding a suitable product for my personal needs,,Staff poor knowledge about products,Presentation of unclear shoes,,No system / tool to choose the right pair of shoes,,,,,,Strongly Agree,37-45 years,Employee,Yes
